VZG-Nummer;Verlauf;km von;km bis;La-Nummer;
1011;Rosendahl – Husum;-999;999;475;
1150;Lüneburg – Jäger;-999;999;424;
1151;Wendisch Evern – Lüneburg;-999;999;486;
1153;Lüneburg – Stelle;-999;999;30;
1201;Niebüll – Uphusum;-999;999;478;
1204;Abzw Hörn – Tönning;-999;999;472;
1205;Tönning – St Peter-Ording;-999;999;472;
1210;Üst Eiderbrücke – Westerland (Sylt);-999;999;432;
1255;Maschen Rbf W1219 – Abzw Süderelbbrücke;-999;999;497;
1259;Hmb-Harburg W47 – W124;-999;999;30;
1271;Hmb-Wilhelmsburg Abzw S-Bahn – Harburg S-Bahn;-999;999;407;
1280;Jesteburg – Hmb-Wilhelmsburg Abzw S-Bahn;-999;999;416;
1281;Abzw Ashausen – Maschen Rbf Msof;-999;999;497;
1284;Stelle – Maschen Rbf Mswf W1363;-999;999;497;
1710;Hasenwechsel – Celle;-999;999;30;
1720;Lehrte – Celle;-999;44;731;Wechsel zu La 30 in Celle
1720;Celle – Hamburg-Harburg;44;169,376;30;Wechsel zu La 423 in Harburg
1720;Hamburg-Harburg – Cuxhaven;169,376;999;423;
1721;Celle – Wietzenbruch;-999;999;;
1722;Celle – Eikenrode;-999;999;;
1723;Plockhorst – Stederdorf;-999;999;;
1724;Westercelle – Celle;-999;999;;
1726;Celle – Celle Nord OHE;-999;999;731;
1730;Karl-Wiechert-Allee – Üst Ramhorst;-999;999;1;
1732;Hannover – Göttingen;-999;107,6;30;Wechsel zu La 20 in Göttingen
1732;Bonaforth – Kassel Hbf;107,6;999;20;
1733;Sorsum – Kassel-Wilhelmshöhe;-999;999;300;
1734;Ahlten – Lehrte West;-999;999;531;
1750;Ahlten – Lehrte Nord;-999;999;380;
1760;Bergheim – Altenbeken;-999;110,808;186;Wechsel zu La 40 in Altenbeken
1760;Altenbeken – Salzkotten;110,808;999;40;
1770;Lehrte – Sehnde;-999;999;731;
1773;Hildesheim – Goslar;-999;999;60;
1774;Sorsum – Himmelsthür;-999;999;777;
1775;Lehrte W316 – Lehrte W828;-999;999;380;
1776;Lehrte W413 – Lehrte W317;-999;999;380;
1800;Göttingen – Abzw Grone;-999;999;23;
1801;Göttingen – Lenglern;-999;999;692;
1803;Göttingen – Siekweg;-999;999;301;
1816;Edesheim W 103 – W 106;-999;999;300;
1817;Edesheim W 110 – W 113;-999;999;300;
1940;Bad Gandersheim – Kreiensen;-999;999;810;
1960;Uelzen – Fischerhof;-999;999;750;
1963;Uelzen – Molzen;-999;999;;
2200;Hittfeld – Hmb-Wilhelmsburg;-999;999;3;
2324;Lev-Morsbroich – K-Kalk Nord Einf;-999;999;10;
2400;Düsseldorf Hbf – D-Wehrhahn;-999;37,8;11;Wechsel der La-Strecke, keine Ahnung wo genau, vermutlich in Essen-Überruhr
2400;Hagen-Vorhalle – Hagen Hbf;37,8;999;110;
2410;Strw. 2410/2411 – Abzw Rethel;-999;999;329;
2411;Abzw D-Reisholz W371 – Strw. 2410/2411;-999;999;329;
2412;Abzw D-Reisholz W371 – Derendorf;-999;999;12;
2413;Düsseldorf Hbf W34 – Düsseldorf Hbf;-999;999;311;
2414;Düsseldorf-Eller – Düsseldorf Hbf;-999;999;324;
2415;Düsseldorf Hbf – D-Abstellbahnhof;-999;999;325;
2416;Düsseldorf Emma – D-Abstellbahnhof;-999;999;;
2417;Düsseldorf Hbf – Düsseldorf Nordkopf;-999;999;331;
2418;Abzw Sturm – Lierenfeld;-999;999;331;
2419;Düsseldorf Eller – Abzw Sturm;-999;999;326;
2525;Düsseldorf Hbf – D-Abstellbahnhof;-999;999;12;
2543;Staatsgrenze (Haanrade) – Herzogenrath;-999;999;281;
2550;Aachen – Abzw Linden;-999;106,054;4;Wechsel zu La 3 in Wuppertal-Linden
2550;Abzw Linden – Schwerte;106,054;155,596;3;Wechsel zu La 109 in Schwerte
2550;Schwerte – Warburg;155,596;293,389;109;Wechsel zu La 40 in Warburg
2550;Warburg – Kassel Hbf;293,389;999;40;
2552;Aachen-West – Staatsgrenze (Montzen);-999;999;284;
2600;Köln Hbf – K-Ehrenfeld Pbf;-999;999;3;
2608;Köln Hbf – K-Ehrenfeld Pbf;-999;999;345;
2616;Köln Hbf – Köln Bbf;-999;999;340;
2620;Köln Hbf – Köln Hansaring;-999;999;335;
2621;Köln Posthof – Trimbornstraße;-999;999;143;
2630;Köln Hbf – Köln West Wf;-999;999;14;
2633;Köln Hbf – Köln Messe/Deutz;-999;999;1;
2638;Köln Hbf – Köln West Wf;-999;999;341;
2639;Köln Hbf – Köln Messe/Deutz;-999;999;3;
2650;Köln Messe/Deutz – Abzw Rethel;-999;999;1;
2651;Köln Messe/Deutz – Köln Kalk;-999;19,68;16;Wechsel zu La 64 in Troisdorf
2651;Hennef im Siegbogen – Etzbach;19,68;999;64;
2652;Köln Messe/Deutz – Neurather Ring;-999;999;336;
2653;Köln Messe/Deutz – Köln-Mülheim W221;-999;999;;
2654;Köln Messe/Deutz – Deutzerfeld;-999;999;350;
2658;Köln Messe/Deutz – Bruder Klaus;-999;999;;
2659;Köln Messe/Deutz – Neurather Ring;-999;999;;
2660;Köln-Mülheim W174 – Gummersbacher Str.;-999;999;349;
2661;Köln-Mülheim W105 – Abzw Höhenhaus;-999;999;355;
2663;Köln-Mülheim W233 – Köln-Holweide;-999;999;;
2664;Köln-Mülheim W238 – K-Kalk Nord Knf;-999;999;352;
2665;K-Kalk Nord Knf – Berliner Straße;-999;999;353;
2668;Köln Messe/Deutz – Deutzerfeld;-999;999;350;
2669;Köln-Kalk Nord Knf – K-Mülheim Westkopf;-999;999;351;
2670;Köln Hbf – Düsseldorf Nordkopf;-999;999;11;
2730;Lev-Schlebusch – Neurather Ring Strw;-999;999;10;
2800;Hagen Hbf – Hagen-Halden;-999;999;8;
2801;Hagen Hbf – Hagen-Vorhalle;-999;999;;
2802;Hagen-Eckesey – Hagen Gbf;-999;999;;
2803;Hagen-Vorhalle – Hagen Gbf;-999;999;;
2804;Hagen Hbf – Hagen-Heubing;-999;999;12;
2811;Abzw Rehsiepen – Abzw Einhaus;-999;999;137;
2819;Hagen Hbf – Hagen-Oberhagen;-999;999;134;
2820;Hagen-Vorhalle – Hagen-Kabel;-999;999;130;
2821;Hagen-Vorhalle – Herdecke;-999;999;134;
2822;Hagen-Eckesey – Hagen-Vorhalle;-999;999;;
2823;Hagen-Eckesey – Abzw Hohensyburg;-999;999;;
2825;Hagen-Vorhalle W421 – W505;-999;999;;
2840;Schwerte – Holzwickede;-999;999;3;
2841;Ergste – Schwerte;-999;999;155;
2842;Schwerte Heide – Schwerte Ost;-999;999;161;
2843;Abzw Hohensyburg – Geisecke;-999;999;137;
2844;Abzw Hohensyburg – Hagen-Kabel;-999;999;154;
2850;Bösperde – Fröndenberg;-999;999;152;
2852;Fröndenberg – Frömern;-999;999;152;
2854;Abzw Nuttlar – Bigge;-999;999;160;
2861;Berge – Wennemen;-999;999;;
2960;Paderborn – Paderborn Nord;-999;999;184;
2961;Gudenhagen – Brilon Wald;-999;999;195;
2961;Paderborn – Wewer;-999;999;185;
2970;Altenbeken – Warburg;-999;999;40;
2971;Altenbeken Kurve;-999;999;186;
2972;Warburg – Warburg Altstadt;-999;999;;
2973;Scherfede – Nörde;-999;999;;
2974;Driburg – Langeland;-999;999;190;
2975;Berwartshausen – Northeim;-999;999;192;
2980;Sandebeck – Himmighausen;-999;999;189;
3032;Dieperzen – Au;-999;999;149;
3600;Obernjesa – Göttingen;-999;999;23;
3900;Kassel Hbf – Kassel-Wilhelmshöhe;-999;999;20;
3901;Kassel Hbf – Niederzwehren;-999;999;101;
3902;Kassel Hbf Abzw Tunnelgleis – Kassel Hbf;-999;999;20;
3903;Ahnatal – Obervellmar;-999;999;126;
3906;Hümme – Stammen;-999;999;;
3909;Abzw Kassel Nord/West – Kassel Rbf;-999;999;;
3910;Kassel Rbf – Kassel Hbf;-999;999;;
3911;Kassel Rbf – Kassel Unterstadt;-999;999;;
3912;Kassel Rbf W8 – Kassel Rbf W496;-999;999;;
3913;Obervellmar – Kassel-Wilhelmshöhe;-999;999;81;
3914;Abzw Berg – Abzw Kassel Rbf;-999;999;82;
3915;Kassel Rbf W1228 – Kassel Rbf W90;-999;999;;
3916;Kassel Rbf – Kassel Schlachthof;-999;999;;
3918;Abzw Niedervellmar – Kassel Rbf;-999;999;20;
3925;Abzw Berg – Abzw Kassel Nord/West;-999;999;;
3926;Kassel Rbf – Abzw Kassel Nord/West;-999;999;;
3944;Willingen – Brilon Wald;-999;999;122;
4403;Weizen – Geisingen-Hausen;-999;999;;
5300;Augsburg-Oberhausen – Nordendorf;-999;999;18;
5302;Augsburg-Oberhausen – Neusäß;-999;999;1;
5305;Augsburg Oberhausen – Hirblinger Straße;-999;999;1;
5307;Meitingen Stahlwerk – Herbertshofen Süd;-999;999;18;
5919;Theuern – Erfurt Pbf;-999;999;500;
6107;Immensen-Arpke – Lehrte;-999;999;20;
6290;Erfurt Gbf – Erfurt Pbf;-999;999;400;
6291;Erfurt Pbf – Neudietendorf;-999;999;400;
6298;Neudietendorf – Sülzenbrücken;-999;999;450;
6299;Arnstadt – Stadtilm;-999;999;460;
6300;Erfurt Gbf – Erfurt Pbf;-999;999;280;
6302;Erfurt Gbf – Erfurt Pbf;-999;999;290;
6340;Erfurt Pbf – Wandersleben;-999;999;400;
6343;Hedemünden – Hannmünden;-999;999;20;
6410;Gommern – Güterglück Gkn;-999;999;120;
6899;Veerßen – Uelzen;-999;999;760;
